,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
191,Dead Poets Society,(1989),PG,tt0097165,128 min,"
Comedy, Drama            ",79        ,8.1,"428,050",$95.86M
192,The Ten Commandments,(1956),G,tt0049833,220 min,"
Adventure, Drama            ",--,7.9,"63,730",$93.74M
193,The Fighter,(I) (2010),R,tt0964517,116 min,"
Biography, Drama, Sport            ",79        ,7.8,"341,821",$93.62M
194,When Harry Met Sally...,(1989),R,tt0098635,95 min,"
Comedy, Drama, Romance            ",76        ,7.6,"196,612",$92.82M
195,Blade Runner 2049,(2017),R,tt1856101,164 min,"
Action, Drama, Mystery            ",81        ,8.0,"464,845",$92.05M
196,The Imitation Game,(2014),PG-13,tt2084970,114 min,"
Biography, Drama, Thriller            ",73        ,8.0,"688,286",$91.13M
197,Mystic River,(2003),R,tt0327056,138 min,"
Crime, Drama, Mystery            ",84        ,7.9,"420,612",$90.14M
198,Inside Man,(2006),R,tt0454848,129 min,"
Crime, Drama, Mystery            ",76        ,7.6,"341,397",$88.51M
199,Young Frankenstein,(1974),PG,tt0072431,106 min,"
Comedy            ",80        ,8.0,"143,856",$86.30M
200,Aliens,(1986),R,tt0090605,137 min,"
Action, Adventure, Sci-Fi            ",84        ,8.3,"654,722",$85.16M
201,Green Book,(2018),PG-13,tt6966692,130 min,"
Biography, Comedy, Drama            ",69        ,8.2,"383,880",$85.08M
202,Apocalypse Now,(1979),R,tt0078788,147 min,"
Drama, Mystery, War            ",94        ,8.4,"608,758",$83.47M
203,Airplane!,(1980),PG,tt0080339,88 min,"
Comedy            ",78        ,7.7,"215,597",$83.40M
204,Brokeback Mountain,(2005),R,tt0388795,134 min,"
Drama, Romance            ",87        ,7.7,"324,194",$83.04M
205,Die Hard,(1988),R,tt0095016,132 min,"
Action, Thriller            ",72        ,8.2,"795,435",$83.01M
206,Fried Green Tomatoes,(1991),PG-13,tt0101921,130 min,"
Drama            ",64        ,7.7,"67,170",$82.42M
207,The Notebook,(2004),PG-13,tt0332280,123 min,"
Drama, Romance            ",53        ,7.8,"522,647",$81.00M
208,Fiddler on the Roof,(1971),G,tt0067093,181 min,"
Drama, Family, Musical            ",67        ,8.0,"39,629",$80.50M
209,Star Trek II: The Wrath of Khan,(1982),PG,tt0084726,113 min,"
Action, Adventure, Sci-Fi            ",67        ,7.7,"112,989",$78.91M
