movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
Chhichhore,2019,Not Rated,9052870,143,"Comedy, Drama",,8.2,34246,0.90
Paprika,2006,R,851578,90,"Animation, Drama, Fantasy",81.0,7.7,71781,0.88
Control,2007,R,421082,122,"Biography, Drama, Music",78.0,7.7,61739,0.87
Song of the Sea,2014,PG,1865505,93,"Animation, Adventure, Drama",85.0,8.1,52056,0.86
Mustang,2015,PG-13,3966404,97,Drama,83.0,7.6,35921,0.85
Perfect Blue,1997,R,156887,81,"Animation, Crime, Mystery",,8.0,58830,0.78
When Marnie Was There,2014,PG,3398268,103,"Animation, Drama, Family",72.0,7.7,33134,0.77
Nights of Cabiria,1957,Not Rated,50783,110,Drama,,8.1,43082,0.75
The Edge of Heaven,2007,Not Rated,880502,122,Drama,85.0,7.8,30868,0.74
Drishyam,2015,Not Rated,4430212,163,"Crime, Drama, Mystery",,8.2,71052,0.74
Black,2005,Not Rated,375611,122,Drama,,8.2,33415,0.73
Oldboy,2003,R,364569,120,"Action, Drama, Mystery",77.0,8.4,517789,0.71
Mysterious Skin,2004,Unrated,370986,105,Drama,73.0,7.6,66050,0.70
Duck You Sucker,1971,PG,67140,138,"Drama, War, Western",77.0,7.6,30248,0.70
The Hunt,2012,R,2106476,115,Drama,77.0,8.3,283731,0.69
The Secret of Kells,2009,Not Rated,485601,75,"Animation, Adventure, Family",81.0,7.6,31995,0.69
Nobody Knows,2004,PG-13,408664,141,Drama,88.0,8.1,25026,0.68
The Night of the Hunter,1955,Not Rated,48424,92,"Crime, Drama, Film-Noir",99.0,8.0,82263,0.65
Chungking Express,1994,PG-13,109424,102,"Comedy, Crime, Drama",77.0,8.1,63699,0.60
Loveless,2017,R,6304162,127,Drama,86.0,7.6,29934,0.57
Akira,1988,R,94625,124,"Animation, Action, Sci-Fi",,8.0,165654,0.55
Love Me If You Dare,2003,R,364517,93,"Comedy, Drama, Romance",45.0,7.6,67487,0.55
Mother,2009,R,1216496,129,"Crime, Drama, Mystery",79.0,7.8,53346,0.55
The Conformist,1970,R,65571,113,Drama,100.0,8.0,27251,0.54
Sunrise,1927,Passed,18455,94,"Drama, Romance",,8.1,47014,0.54
The African Queen,1951,PG,43265,105,"Adventure, Drama, Romance",91.0,7.7,71711,0.54
Ghost in the Shell,1995,TV-MA,113568,83,"Animation, Action, Crime",76.0,8.0,129812,0.52
The Return,2003,Not Rated,376968,110,Drama,82.0,8.0,42584,0.50
Nausicaä of the Valley of the Wind,1984,PG,87544,117,"Animation, Adventure, Fantasy",86.0,8.1,151788,0.50
Only Yesterday,1991,PG,102587,118,"Animation, Drama, Romance",90.0,7.6,27326,0.45
The Third Man,1949,Approved,41959,93,"Film-Noir, Mystery, Thriller",97.0,8.1,159282,0.45
Land of Mine,2015,R,3841424,100,"Drama, History, War",75.0,7.8,35777,0.44
After the Wedding,2006,R,457655,120,Drama,78.0,7.7,32091,0.41
Jyaare Ame Maliya,2007,Not Rated,1093370,138,"Comedy, Drama, Romance",,7.9,47828,0.41
Open Your Eyes,1997,R,125659,119,"Drama, Mystery, Sci-Fi",,7.7,64230,0.37
Jojo Rabbit,2019,PG-13,2584384,108,"Comedy, Drama, War",58.0,7.9,302603,0.35
"Crna macka, beli macor",1998,R,118843,127,"Comedy, Crime, Romance",73.0,8.1,51016,0.35
Talvar,2015,Not Rated,4934950,132,"Crime, Drama, Mystery",,8.2,31267,0.34
Breathless,1960,Not Rated,53472,90,"Crime, Drama",,7.8,73541,0.34
God's Own Country,2017,Not Rated,5635086,104,"Drama, Romance",85.0,7.7,25442,0.34
Bicycle Thieves,1948,Not Rated,40522,89,Drama,,8.3,147257,0.33
This Is England,2006,Not Rated,480025,101,"Crime, Drama",86.0,7.7,115835,0.33
La Haine,1995,Not Rated,113247,98,"Crime, Drama",,8.1,151269,0.31
Dil Chahta Hai,2001,Not Rated,292490,183,"Comedy, Drama, Romance",,8.1,66952,0.30
His Girl Friday,1940,Passed,32599,92,"Comedy, Drama, Romance",,7.9,53845,0.30
Amarcord,1973,R,71129,123,"Comedy, Drama, Family",,7.9,40022,0.29
The Great Dictator,1940,Passed,32553,125,"Comedy, Drama, War",,8.4,203999,0.29
Time of the Gypsies,1988,R,97223,142,"Comedy, Crime, Drama",,8.2,26839,0.28
Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,1964,PG,57012,95,Comedy,97.0,8.4,452106,0.28
Seven Samurai,1954,Not Rated,47478,207,"Action, Adventure, Drama",98.0,8.6,316958,0.27
The Legend of 1900,1998,R,120731,169,"Drama, Music, Romance",58.0,8.1,59208,0.26
"I, Daniel Blake",2016,R,5168192,100,Drama,78.0,7.9,54157,0.26
