genre_ids,popularity,release_date,title,year,pg_rating,imdb_id,runtime,genre,imdb_rating,votes,gross_us,month
"['Drama', 'Crime']",15.78,1996-02-23,Trainspotting,1996,R,117951,93,Drama,8.1,636488,16.5,2
"['Animation', 'Drama']",29.638,2014-07-19,When Marnie Was There,2014,PG,3398268,103,"Animation, Drama, Family",7.7,33134,0.77,7
"['Comedy', 'Drama']",13.065,1939-10-19,Mr. Smith Goes to Washington,1939,Passed,31679,129,"Comedy, Drama",8.1,107336,9.6,10
"['Drama', 'History']",14.891,1980-11-14,Raging Bull,1980,R,81398,129,"Biography, Drama, Sport",8.2,323101,23.38,11
"['Drama', 'War', 'History']",10.569,1966-09-08,The Battle of Algiers,1966,Not Rated,58946,121,"Drama, War",8.1,53401,0.06,9
"['Drama', 'Action', 'History']",163.5,2019-11-13,Ford v Ferrari,2019,PG-13,1950186,152,"Action, Biography, Drama",8.1,295983,117.62,11
"['Adventure', 'Drama', 'History', 'Thriller', 'War']",12.594,1963-06-20,The Great Escape,1963,Approved,57115,172,"Adventure, Drama, History",8.2,225492,12.1,6
"['Adventure', 'Drama', 'History', 'War']",18.378,1962-12-11,Lawrence of Arabia,1962,Approved,56172,228,"Adventure, Biography, Drama",8.3,269092,44.82,12
"['Action', 'Crime']",31.683,2003-10-10,Kill Bill: Vol. 1,2003,R,266697,111,"Action, Crime, Drama",8.1,1004428,70.1,10
"['Crime', 'Drama', 'Thriller']",7.986,1955-08-26,The Night of the Hunter,1955,Not Rated,48424,92,"Crime, Drama, Film-Noir",8.0,82263,0.65,8
"['Adventure', 'Drama']",22.877,2016-07-02,Captain Fantastic,2016,R,3553976,118,"Comedy, Drama",7.9,190709,5.88,7
['Drama'],8.947,2011-03-15,A Separation,2011,PG-13,1832382,123,Drama,8.3,220984,7.1,3
"['Drama', 'Mystery', 'Thriller', 'Romance']",11.983,1940-03-23,Rebecca,1940,Approved,32976,130,"Drama, Mystery, Romance",8.1,124454,4.36,3
"['Romance', 'Drama', 'Mystery', 'Thriller']",17.329,2020-10-16,Rebecca,1940,Approved,32976,130,"Drama, Mystery, Romance",8.1,124454,4.36,10
['Drama'],18.532,2004-12-15,Million Dollar Baby,2004,PG-13,405159,132,"Drama, Sport",8.1,638134,100.49,12
['Drama'],9.503,1993-10-26,Farewell My Concubine,1993,R,106332,171,"Drama, Music, Romance",8.1,25209,5.22,10
"['Drama', 'History']",19.151,2013-11-17,Dallas Buyers Club,2013,R,790636,117,"Biography, Drama",8.0,443719,27.3,11
"['Drama', 'History']",18.186,2013-10-18,12 Years a Slave,2013,R,2024544,134,"Biography, Drama, History",8.1,643236,56.67,10
"['Drama', 'Comedy']",16.296,2009-12-23,3 Idiots,2009,PG-13,1187043,170,"Comedy, Drama",8.4,346126,6.53,12
"['Animation', 'Adventure', 'Family', 'Comedy']",101.768,1995-10-30,Toy Story,1995,G,114709,81,"Animation, Adventure, Comedy",8.3,891080,191.8,10
"['Drama', 'Romance']",56.837,2019-12-25,Little Women,2019,PG,3281548,135,"Drama, Romance",7.8,145776,108.1,12
"['Drama', 'Romance']",16.112,1994-12-21,Little Women,2019,PG,3281548,135,"Drama, Romance",7.8,145776,108.1,12
"['War', 'Drama', 'Action', 'Thriller']",85.852,2019-12-25,1917,2019,R,8579674,119,"Drama, Thriller, War",8.3,434617,159.23,12
"['Animation', 'Science Fiction', 'Action']",41.459,1988-07-16,Akira,1988,R,94625,124,"Animation, Action, Sci-Fi",8.0,165654,0.55,7
['Comedy'],14.251,1974-12-15,Young Frankenstein,1974,PG,72431,106,Comedy,8.0,143856,86.3,12
"['Drama', 'Romance']",16.436,1995-01-27,Before Sunrise,1995,R,112471,101,"Drama, Romance",8.1,273775,5.54,1
