,popularity,id,video,vote_count,vote_average,title,release_date,original_language,original_title,genre_ids,backdrop_path,adult,overview,poster_path,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us,month
225,162.098,359724,False,3713,7.9,Ford v Ferrari,2019-11-13,en,Ford v Ferrari,"['Drama', 'History']",/n3UanIvmnBlH531pykuzNs4LbH6.jpg,False,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg,162,Ford v Ferrari,2019,PG-13,1950186,152,"Action, Biography, Drama",81.0,8.1,270868,117.62,11
226,71.653,862,False,13119,7.9,Toy Story,1995-10-30,en,Toy Story,"['Animation', 'Comedy', 'Family']",/lxD5ak7BOoinRNehOCA85CQ8ubr.jpg,False,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,89,Toy Story,1995,G,114709,81,"Animation, Adventure, Comedy",95.0,8.3,873351,191.8,10
227,22.298,70,False,6441,7.9,Million Dollar Baby,2004-12-15,en,Million Dollar Baby,['Drama'],/jruBJZOJCQAWWhJ20UbxPUpbXXT.jpg,False,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",/corahhcHlrDUx6WJPLuRZvMeS0H.jpg,187,Million Dollar Baby,2004,PG-13,405159,132,"Drama, Sport",86.0,8.1,628271,100.49,12
228,20.632,829,False,2374,7.9,Chinatown,1974-06-20,en,Chinatown,"['Crime', 'Drama', 'Mystery', 'Thriller']",/nGFwmyLV2VByQslsiyJh0yqlaiG.jpg,False,"Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",/7ljxmU9L0ugUvyyg0GBkFaarjEq.jpg,394,Chinatown,1974,R,71315,130,"Drama, Mystery, Thriller",92.0,8.1,289928,29.2,6
229,29.241,149,False,2382,7.9,Akira,1988-07-16,ja,アキラ,"['Animation', 'Science Fiction', 'Action']",/qZ4NYuwME0j6QgJmIE6AZMgmCaj.jpg,False,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,/5KlRFKKSbyCiyYpZSS3A6G5bW0K.jpg,750,Akira,1988,R,94625,124,"Animation, Action, Sci-Fi",,8.0,161992,0.55,7
230,16.358,369557,False,1566,7.9,Sing Street,2016-03-11,en,Sing Street,"['Comedy', 'Romance', 'Drama', 'Music']",/ww6f0XEn8aUbNsK1OQGdutJWwQf.jpg,False,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,/iZNf6zvKRBe4OfRIAJfYDZRRA1r.jpg,635,Sing Street,2016,PG-13,3544112,106,"Comedy, Drama, Music",79.0,7.9,83769,3.24,3
231,16.767,20453,False,1472,7.9,3 Idiots,2009-12-23,hi,3 Idiots,"['Comedy', 'Drama']",/aFGPUmbgGoAt93WP3WYsAPa0Yv8.jpg,False,"In the tradition of “Ferris Bueller’s Day Off” comes this refreshing comedy about a rebellious prankster with a crafty mind and a heart of gold. Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",/k1iWMypGjk1b59oCHLtyfd4hw99.jpg,560,3 Idiots,2009,PG-13,1187043,170,"Comedy, Drama",67.0,8.4,336960,6.53,12
232,14.35,301,False,668,7.9,Rio Bravo,1959-03-17,en,Rio Bravo,"['Western', 'Drama']",/aZD1nLaDmmLXvtI2QyPL5rIBsnW.jpg,False,"The sheriff of a small town in southwest Texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. After a friend is killed trying to muster support for him, he and his deputies - a disgraced drunk and a cantankerous old cripple - must find a way to hold out against the rancher's hired guns until the marshal arrives. In the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach.",/5hFxzqpucuT3AjnvcO1pHkR122S.jpg,496,Rio Bravo,1959,Passed,53221,141,"Action, Drama, Western",93.0,8.0,55426,12.54,3
233,12.485,5924,False,1139,7.9,Papillon,1973-12-13,en,Papillon,"['Crime', 'Drama']",/1xTUtI25j3TpKtJ7dyFvqCP2qaO.jpg,False,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",/356oqQpug682OERsWV0bGZ0YxwQ.jpg,287,Papillon,1973,R,70511,151,"Biography, Crime, Drama",58.0,8.0,120355,53.27,12
234,24.585,433498,False,1104,7.4,Papillon,2017-09-07,en,Papillon,"['Crime', 'Drama', 'History']",/rNYMwtlMCDGpxpQ1nKN96UJgkb7.jpg,False,"Henri “Papillon” Charrière, a safecracker from the Parisian underworld, is wrongfully convicted and sentenced to life imprisonment in the penal colony of French Guiana, where he forges a strong friendship with Louis Dega, a counterfeiter who needs his protection.",/ahF5c6vyP8HWMqIwlhecbRALkjq.jpg,287,Papillon,1973,R,70511,151,"Biography, Crime, Drama",58.0,8.0,120355,53.27,9
235,11.116,31442,False,362,7.9,Ivan's Childhood,1962-05-09,ru,Иваново детство,"['Drama', 'War']",/h81gVvHitMCp5ZmLyFUjHX4zjd6.jpg,False,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",/vmRWSLP1DE9WTta0hfzIafJ0dID.jpg,938,Ivan's Childhood,1962,Not Rated,56111,84,"Drama, War",,8.1,30830,,5
236,12.727,3034,False,2147,7.9,Young Frankenstein,1974-12-15,en,Young Frankenstein,['Comedy'],/14AH4fovT9lj5wFXiXsgBcEKHFH.jpg,False,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",/tQJAWbIjvvqVKLLbIZHtwGw2HTf.jpg,203,Young Frankenstein,1974,PG,72431,106,Comedy,80.0,8.0,141832,86.3,12
237,59.065,150540,False,15617,7.9,Inside Out,2015-06-09,en,Inside Out,"['Drama', 'Comedy', 'Animation', 'Family']",/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg,False,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley's guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley's mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.",/lRHE0vzf3oYJrhbsHXjIkF4Tl5A.jpg,21,Inside Out,2015,PG,2096673,95,"Animation, Adventure, Comedy",94.0,8.1,600512,356.46,6
238,12.976,11658,False,390,7.9,Tae Guk Gi: The Brotherhood of War,2004-02-05,ko,태극기 휘날리며,"['Action', 'Adventure', 'Drama', 'History', 'War']",/5fSiKlAibnZetnWjIQRnFVeknKq.jpg,False,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",/vyG8qpimh3XSlxc6OmPq8LJRJl.jpg,711,Tae Guk Gi: The Brotherhood of War,2004,R,386064,140,"Action, Drama, War",64.0,8.1,37543,1.11,2
239,9.793,1626,False,357,7.9,Vivre Sa Vie,1962-08-28,fr,Vivre sa vie: film en douze tableaux,['Drama'],/kQe9KyjyuIDZGH6da2n0Jp397g6.jpg,False,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,/lYTAYclvYIa1SR4wRwMW7OwGp86.jpg,933,Vivre Sa Vie,1962,Not Rated,56663,85,Drama,,8.0,27318,,8
240,17.279,76,False,2487,7.9,Before Sunrise,1995-01-27,en,Before Sunrise,"['Drama', 'Romance']",/qA2TyqPldTtoTVY3LKrNIG5g6bH.jpg,False,"On his way to Vienna, American Jesse meets Céline, a student returning to Paris. After long conversations forge a surprising connection between them, Jesse convinces Celine to get off the train with him in Vienna. Since his flight to the U.S. departs the next morning and he has no money for lodging, they wander the city together, taking in the experiences of Vienna and each other.",/6KWnXYoV1htDT3TGYdFWucfTt6t.jpg,579,Before Sunrise,1995,R,112471,101,"Drama, Romance",77.0,8.1,266523,5.54,1
241,29.069,640,False,10028,7.9,Catch Me If You Can,2002-12-25,en,Catch Me If You Can,"['Drama', 'Crime']",/rwcEaZghpbt6mV0lRQ9ymz5oM9B.jpg,False,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",/ctjEj2xM32OvBXCq8zAdK3ZrsAj.jpg,114,Catch Me If You Can,2002,PG-13,264464,141,"Biography, Crime, Drama",75.0,8.1,811933,164.62,12
